condition,water_added_g,trial,adc_reading,threshold_adc,system_decision,validity
A,0,1,3057,2200,Pump ON,Valid formal reading
A,0,2,3620,2200,Pump ON,Valid formal reading
A,0,3,3220,2200,Pump ON,Valid formal reading
A,0,4,3393,2200,Pump ON,Valid formal reading
A,0,5,3079,2200,Pump ON,Valid formal reading
B,20,1,1890,2200,Pump OFF,Valid formal reading
B,20,2,1904,2200,Pump OFF,Valid formal reading
B,20,3,1923,2200,Pump OFF,Valid formal reading
B,20,4,1825,2200,Pump OFF,Valid formal reading
B,20,5,1806,2200,Pump OFF,Valid formal reading
C,40,1,1102,2200,Pump OFF,Valid formal reading
C,40,2,1037,2200,Pump OFF,Valid formal reading
C,40,3,1208,2200,Pump OFF,Valid formal reading
C,40,4,1179,2200,Pump OFF,Valid formal reading
C,40,5,1089,2200,Pump OFF,Valid formal reading
